name,startDate,endDate,type,subdivisions
Weihnachtsferien,2019-01-01,2019-01-04,school,BY
Frühjahrsferien,2019-03-04,2019-03-08,school,BY
Osterferien,2019-04-15,2019-04-27,school,BY
Pfingstferien,2019-06-11,2019-06-22,school,BY
Sommerferien,2019-07-29,2019-09-09,school,BY
Herbstferien,2019-10-28,2020-10-31,school,BY
Weihnachtsferien,2019-12-23,2020-01-04,School,BY
Frühjahrsferien,2020-02-24,2020-02-28,School,BY
Osterferien,2020-04-06,2020-04-18,School,BY
Pfingstferien,2020-06-02,2020-06-13,School,BY
Sommerferien,2020-07-27,2020-09-07,School,BY
Herbstferien,2020-10-31,2020-11-06,School,BY
Buß- und Bettag,2020-11-18,2020-11-18,School,BY
Weihnachtsferien,2020-12-23,2021-01-09,School,BY
Osterferien,2021-03-29,2021-04-10,School,BY
Pfingstferien,2021-05-25,2021-06-04,School,BY
Sommerferien,2021-07-30,2021-09-13,School,BY
Herbstferien,2021-11-02,2021-11-05,School,BY
Buß- und Bettag,2021-11-17,2021-11-17,School,BY
Weihnachtsferien,2021-12-24,2022-01-08,School,BY
Weihnachtsferien,2021-12-24,2022-01-08,School,BY
Frühjahrsferien,2022-02-28,2022-03-04,School,BY
Osterferien,2022-04-11,2022-04-23,School,BY
Pfingstferien,2022-06-07,2022-06-18,School,BY
Sommerferien,2022-08-01,2022-09-12,School,BY
Herbstferien,2022-10-31,2022-11-04,School,BY
Buß- und Bettag,2022-11-16,2022-11-16,School,BY
Weihnachtsferien,2022-12-24,2023-01-07,School,BY
Frühjahrsferien,2023-02-20,2023-02-24,School,BY
Osterferien,2023-04-03,2023-04-15,School,BY
Pfingstferien,2023-05-30,2023-06-09,School,BY
Sommerferien,2023-07-31,2023-09-11,School,BY
Herbstferien,2023-10-30,2023-11-04,School,BY
Buß- und Bettag,2023-11-22,2023-11-22,School,BY
Weihnachtsferien,2023-12-23,2024-01-05,School,BY
Frühjahrsferien,2024-02-12,2024-02-16,School,BY
Osterferien,2024-03-25,2024-04-06,School,BY
Pfingstferien,2024-05-21,2024-06-01,School,BY
Sommerferien,2024-07-29,2024-09-09,School,BY
Herbstferien,2024-10-28,2024-10-31,School,BY
Buß- und Bettag,2024-11-20,2024-11-20,School,BY
Weihnachtsferien,2024-12-23,2025-01-03,School,BY
Weihnachtsferien,2024-12-23,2025-01-03,School,BY
Frühjahrsferien,2025-03-03,2025-03-07,School,BY
Osterferien,2025-04-14,2025-04-25,School,BY
Pfingstferien,2025-06-10,2025-06-20,School,BY
Sommerferien,2025-08-01,2025-09-15,School,BY
Herbstferien,2025-11-03,2025-11-07,School,BY
Buß- und Bettag,2025-11-19,2025-11-19,School,BY
Weihnachtsferien,2025-12-22,2026-01-05,School,BY
Frühjahrsferien,2026-02-16,2026-02-20,School,BY
Osterferien,2026-03-30,2026-04-10,School,BY
Pfingstferien,2026-05-26,2026-06-05,School,BY
Sommerferien,2026-08-03,2026-09-14,School,BY
Herbstferien,2026-11-02,2026-11-06,School,BY
Buß- und Bettag,2026-11-18,2026-11-18,School,BY
Weihnachtsferien,2026-12-24,2027-01-08,School,BY
